Infinitive,помеша́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помеша́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помеша́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помеша́юсь
2nd Sing,помеша́ешься
3rd Sing,помеша́ется
1st Pl,помеша́емся
2nd Pl,помеша́етесь
3rd Pl,помеша́ются
Past M,помеша́лся
Past F,помеша́лась
Past N,помеша́лось
Past PL,помеша́лись
Imp S,помеша́йся
Imp PL,помеша́йтесь
