Infinitive,покри́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,покри́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,покри́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покри́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,покри́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,покри́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,покри́киваю
2nd Sing,покри́киваешь
3rd Sing,покри́кивает
1st Pl,покри́киваем
2nd Pl,покри́киваете
3rd Pl,покри́кивают
Past M,покри́кивал
Past F,покри́кивала
Past N,покри́кивало
Past PL,покри́кивали
Imp S,покри́кивай
Imp PL,покри́кивайте
