Infinitive,поли́ться
Zaliznyak Class,11b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,полью́сь
2nd Sing,польёшься
3rd Sing,польётся
1st Pl,польёмся
2nd Pl,польётесь
3rd Pl,полью́тся
Past M,поли́лся
Past F,полила́сь
Past N,полило́сь
Past PL,полили́сь
Imp S,поле́йся
Imp PL,поле́йтесь
