Infinitive,попроща́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попроща́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попроща́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попроща́юсь
2nd Sing,попроща́ешься
3rd Sing,попроща́ется
1st Pl,попроща́емся
2nd Pl,попроща́етесь
3rd Pl,попроща́ются
Past M,попроща́лся
Past F,попроща́лась
Past N,попроща́лось
Past PL,попроща́лись
Imp S,попроща́йся
Imp PL,попроща́йтесь
