Infinitive,постыди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,постыди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постыди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,постыжу́сь
2nd Sing,постыди́шься
3rd Sing,постыди́тся
1st Pl,постыди́мся
2nd Pl,постыди́тесь
3rd Pl,постыдя́тся
Past M,постыди́лся
Past F,постыди́лась
Past N,постыди́лось
Past PL,постыди́лись
Imp S,постыди́сь
Imp PL,постыди́тесь
