Infinitive,побри́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,побри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,побре́юсь
2nd Sing,побре́ешься
3rd Sing,побре́ется
1st Pl,побре́емся
2nd Pl,побре́етесь
3rd Pl,побре́ются
Past M,побри́лся
Past F,побри́лась
Past N,побри́лось
Past PL,побри́лись
Imp S,побре́йся
Imp PL,побре́йтесь
