Infinitive,подня́ть
Zaliznyak Class,14c/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́днятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подниму́
2nd Sing,подни́мешь
3rd Sing,подни́мет
1st Pl,подни́мем
2nd Pl,подни́мете
3rd Pl,подни́мут
Past M,по́днял
Past F,подняла́
Past N,по́дняло
Past PL,по́дняли
Imp S,подними́
Imp PL,подними́те
