Infinitive,попра́ть
Zaliznyak Class,6°b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́пранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попру́
2nd Sing,попрёшь
3rd Sing,попрёт
1st Pl,попрём
2nd Pl,попрёте
3rd Pl,попру́т
Past M,попра́л
Past F,попра́ла
Past N,попра́ло
Past PL,попра́ли
Imp S,попри́
Imp PL,попри́те
