Infinitive,подда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подда́мся
2nd Sing,подда́шься
3rd Sing,подда́стся
1st Pl,поддади́мся
2nd Pl,поддади́тесь
3rd Pl,поддаду́тся
Past M,подда́лся
Past F,поддала́сь
Past N,поддало́сь
Past PL,поддали́сь
Imp S,подда́йся
Imp PL,подда́йтесь
