Infinitive,пома́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пома́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пома́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пома́хивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пома́хивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пома́хивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пома́хиваю
2nd Sing,пома́хиваешь
3rd Sing,пома́хивает
1st Pl,пома́хиваем
2nd Pl,пома́хиваете
3rd Pl,пома́хивают
Past M,пома́хивал
Past F,пома́хивала
Past N,пома́хивало
Past PL,пома́хивали
Imp S,пома́хивай
Imp PL,пома́хивайте
