Infinitive,покрыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покрыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,покрыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покрыва́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,покрыва́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,покрыва́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,покрыва́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,покрыва́ю
2nd Sing,покрыва́ешь
3rd Sing,покрыва́ет
1st Pl,покрыва́ем
2nd Pl,покрыва́ете
3rd Pl,покрыва́ют
Past M,покрыва́л
Past F,покрыва́ла
Past N,покрыва́ло
Past PL,покрыва́ли
Imp S,покрыва́й
Imp PL,покрыва́йте
