Infinitive,подъе́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подъе́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подъе́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подъе́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подъе́ду
2nd Sing,подъе́дешь
3rd Sing,подъе́дет
1st Pl,подъе́дем
2nd Pl,подъе́дете
3rd Pl,подъе́дут
Past M,подъе́хал
Past F,подъе́хала
Past N,подъе́хало
Past PL,подъе́хали
Imp S,подъезжа́й
Imp PL,подъезжа́йте
