Infinitive,подели́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поделю́сь
2nd Sing,поде́лишься
3rd Sing,поде́лится
1st Pl,поде́лимся
2nd Pl,поде́литесь
3rd Pl,поде́лятся
Past M,подели́лся
Past F,подели́лась
Past N,подели́лось
Past PL,подели́лись
Imp S,подели́сь
Imp PL,подели́тесь
