Infinitive,подкоси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкоси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подко́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкоси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подкоси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкошу́
2nd Sing,подко́сишь
3rd Sing,подко́сит
1st Pl,подко́сим
2nd Pl,подко́сите
3rd Pl,подко́сят
Past M,подкоси́л
Past F,подкоси́ла
Past N,подкоси́ло
Past PL,подкоси́ли
Imp S,подкоси́
Imp PL,подкоси́те
