Infinitive,подста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подста́влю
2nd Sing,подста́вишь
3rd Sing,подста́вит
1st Pl,подста́вим
2nd Pl,подста́вите
3rd Pl,подста́вят
Past M,подста́вил
Past F,подста́вила
Past N,подста́вило
Past PL,подста́вили
Imp S,подста́вь
Imp PL,подста́вьте
