Infinitive,поколоти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поколоти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поколо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поколоти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поколоти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поколочу́
2nd Sing,поколо́тишь
3rd Sing,поколо́тит
1st Pl,поколо́тим
2nd Pl,поколо́тите
3rd Pl,поколо́тят
Past M,поколоти́л
Past F,поколоти́ла
Past N,поколоти́ло
Past PL,поколоти́ли
Imp S,поколоти́
Imp PL,поколоти́те
