Infinitive,порази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,порази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,порази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поражу́сь
2nd Sing,порази́шься
3rd Sing,порази́тся
1st Pl,порази́мся
2nd Pl,порази́тесь
3rd Pl,поразя́тся
Past M,порази́лся
Past F,порази́лась
Past N,порази́лось
Past PL,порази́лись
Imp S,порази́сь
Imp PL,порази́тесь
