Infinitive,подчиня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подчиня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подчиня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подчиня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подчиня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подчиня́юсь
2nd Sing,подчиня́ешься
3rd Sing,подчиня́ется
1st Pl,подчиня́емся
2nd Pl,подчиня́етесь
3rd Pl,подчиня́ются
Past M,подчиня́лся
Past F,подчиня́лась
Past N,подчиня́лось
Past PL,подчиня́лись
Imp S,подчиня́йся
Imp PL,подчиня́йтесь
