Infinitive,попроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попрошу́
2nd Sing,попро́сишь
3rd Sing,попро́сит
1st Pl,попро́сим
2nd Pl,попро́сите
3rd Pl,попро́сят
Past M,попроси́л
Past F,попроси́ла
Past N,попроси́ло
Past PL,попроси́ли
Imp S,попроси́
Imp PL,попроси́те
