Infinitive,пополня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пополня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пополня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пополня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пополня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пополня́юсь
2nd Sing,пополня́ешься
3rd Sing,пополня́ется
1st Pl,пополня́емся
2nd Pl,пополня́етесь
3rd Pl,пополня́ются
Past M,пополня́лся
Past F,пополня́лась
Past N,пополня́лось
Past PL,пополня́лись
Imp S,пополня́йся
Imp PL,пополня́йтесь
