Infinitive,потолкова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потолкова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потолкова́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потолкова́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потолку́ю
2nd Sing,потолку́ешь
3rd Sing,потолку́ет
1st Pl,потолку́ем
2nd Pl,потолку́ете
3rd Pl,потолку́ют
Past M,потолкова́л
Past F,потолкова́ла
Past N,потолкова́ло
Past PL,потолкова́ли
Imp S,потолку́й
Imp PL,потолку́йте
