Infinitive,побоя́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,побоя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побоя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,побою́сь
2nd Sing,побои́шься
3rd Sing,побои́тся
1st Pl,побои́мся
2nd Pl,побои́тесь
3rd Pl,побоя́тся
Past M,побоя́лся
Past F,побоя́лась
Past N,побоя́лось
Past PL,побоя́лись
Imp S,побо́йся
Imp PL,побо́йтесь
