Infinitive,пощу́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пощу́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пощу́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пощу́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пощу́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пощу́паю
2nd Sing,пощу́паешь
3rd Sing,пощу́пает
1st Pl,пощу́паем
2nd Pl,пощу́паете
3rd Pl,пощу́пают
Past M,пощу́пал
Past F,пощу́пала
Past N,пощу́пало
Past PL,пощу́пали
Imp S,пощу́пай
Imp PL,пощу́пайте
