Infinitive,пожа́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пожа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожа́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пожа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пожа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пожму́
2nd Sing,пожмёшь
3rd Sing,пожмёт
1st Pl,пожмём
2nd Pl,пожмёте
3rd Pl,пожму́т
Past M,пожа́л
Past F,пожа́ла
Past N,пожа́ло
Past PL,пожа́ли
Imp S,пожми́
Imp PL,пожми́те
