Infinitive,поде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поде́лаю
2nd Sing,поде́лаешь
3rd Sing,поде́лает
1st Pl,поде́лаем
2nd Pl,поде́лаете
3rd Pl,поде́лают
Past M,поде́лал
Past F,поде́лала
Past N,поде́лало
Past PL,поде́лали
Imp S,поде́лай
Imp PL,поде́лайте
