Infinitive,побы́ть
Zaliznyak Class,irreg-a/c[①]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побу́ду
2nd Sing,побу́дешь
3rd Sing,побу́дет
1st Pl,побу́дем
2nd Pl,побу́дете
3rd Pl,побу́дут
Past M,побы́л
Past F,побыла́
Past N,побы́ло
Past PL,побы́ли
Imp S,побу́дь
Imp PL,побу́дьте
