Infinitive,подлете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подлете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подлете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подлете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подлечу́
2nd Sing,подлети́шь
3rd Sing,подлети́т
1st Pl,подлети́м
2nd Pl,подлети́те
3rd Pl,подлетя́т
Past M,подлете́л
Past F,подлете́ла
Past N,подлете́ло
Past PL,подлете́ли
Imp S,подлети́
Imp PL,подлети́те
