Infinitive,потопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пото́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потоплю́
2nd Sing,пото́пишь
3rd Sing,пото́пит
1st Pl,пото́пим
2nd Pl,пото́пите
3rd Pl,пото́пят
Past M,потопи́л
Past F,потопи́ла
Past N,потопи́ло
Past PL,потопи́ли
Imp S,потопи́
Imp PL,потопи́те
