Infinitive,поинтересова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поинтересова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поинтересова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поинтересу́юсь
2nd Sing,поинтересу́ешься
3rd Sing,поинтересу́ется
1st Pl,поинтересу́емся
2nd Pl,поинтересу́етесь
3rd Pl,поинтересу́ются
Past M,поинтересова́лся
Past F,поинтересова́лась
Past N,поинтересова́лось
Past PL,поинтересова́лись
Imp S,поинтересу́йся
Imp PL,поинтересу́йтесь
