Infinitive,поглупе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поглупе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поглупе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поглупе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поглупе́ю
2nd Sing,поглупе́ешь
3rd Sing,поглупе́ет
1st Pl,поглупе́ем
2nd Pl,поглупе́ете
3rd Pl,поглупе́ют
Past M,поглупе́л
Past F,поглупе́ла
Past N,поглупе́ло
Past PL,поглупе́ли
Imp S,поглупе́й
Imp PL,поглупе́йте
