Infinitive,подслу́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подслу́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подслу́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подслу́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подслу́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подслу́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подслу́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подслу́шиваю
2nd Sing,подслу́шиваешь
3rd Sing,подслу́шивает
1st Pl,подслу́шиваем
2nd Pl,подслу́шиваете
3rd Pl,подслу́шивают
Past M,подслу́шивал
Past F,подслу́шивала
Past N,подслу́шивало
Past PL,подслу́шивали
Imp S,подслу́шивай
Imp PL,подслу́шивайте
