Infinitive,посве́ркивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посве́ркивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,посве́ркивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посве́ркивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,посве́ркивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,посве́ркивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,посве́ркиваю
2nd Sing,посве́ркиваешь
3rd Sing,посве́ркивает
1st Pl,посве́ркиваем
2nd Pl,посве́ркиваете
3rd Pl,посве́ркивают
Past M,посве́ркивал
Past F,посве́ркивала
Past N,посве́ркивало
Past PL,посве́ркивали
Imp S,посве́ркивай
Imp PL,посве́ркивайте
