Infinitive,попада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,попада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,попада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,попада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,попада́ю
2nd Sing,попада́ешь
3rd Sing,попада́ет
1st Pl,попада́ем
2nd Pl,попада́ете
3rd Pl,попада́ют
Past M,попада́л
Past F,попада́ла
Past N,попада́ло
Past PL,попада́ли
Imp S,попада́й
Imp PL,попада́йте
