Infinitive,подави́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подави́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подави́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подавлю́сь
2nd Sing,пода́вишься
3rd Sing,пода́вится
1st Pl,пода́вимся
2nd Pl,пода́витесь
3rd Pl,пода́вятся
Past M,подави́лся
Past F,подави́лась
Past N,подави́лось
Past PL,подави́лись
Imp S,подави́сь
Imp PL,подави́тесь
