Infinitive,поме́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поме́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поме́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поме́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поме́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поме́чу
2nd Sing,поме́тишь
3rd Sing,поме́тит
1st Pl,поме́тим
2nd Pl,поме́тите
3rd Pl,поме́тят
Past M,поме́тил
Past F,поме́тила
Past N,поме́тило
Past PL,поме́тили
Imp S,поме́ть
Imp PL,поме́тьте
