Infinitive,подлежа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подлежа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подлежа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подлежа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подлежа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подлежа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подлежу́
2nd Sing,подлежи́шь
3rd Sing,подлежи́т
1st Pl,подлежи́м
2nd Pl,подлежи́те
3rd Pl,подлежа́т
Past M,подлежа́л
Past F,подлежа́ла
Past N,подлежа́ло
Past PL,подлежа́ли
Imp S,подлежи́
Imp PL,подлежи́те
