Infinitive,подстере́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстерёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстерёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подстерегу́
2nd Sing,подстережёшь
3rd Sing,подстережёт
1st Pl,подстережём
2nd Pl,подстережёте
3rd Pl,подстерегу́т
Past M,подстерёг
Past F,подстерегла́
Past N,подстерегло́
Past PL,подстерегли́
Imp S,подстереги́
Imp PL,подстереги́те
