Infinitive,подраба́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подраба́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подраба́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подраба́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подраба́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подраба́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подраба́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подраба́тываю
2nd Sing,подраба́тываешь
3rd Sing,подраба́тывает
1st Pl,подраба́тываем
2nd Pl,подраба́тываете
3rd Pl,подраба́тывают
Past M,подраба́тывал
Past F,подраба́тывала
Past N,подраба́тывало
Past PL,подраба́тывали
Imp S,подраба́тывай
Imp PL,подраба́тывайте
