Infinitive,поступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поступи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поступи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поступлю́
2nd Sing,посту́пишь
3rd Sing,посту́пит
1st Pl,посту́пим
2nd Pl,посту́пите
3rd Pl,посту́пят
Past M,поступи́л
Past F,поступи́ла
Past N,поступи́ло
Past PL,поступи́ли
Imp S,поступи́
Imp PL,поступи́те
