Infinitive,подсу́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсу́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсу́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсу́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсу́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подсу́ну
2nd Sing,подсу́нешь
3rd Sing,подсу́нет
1st Pl,подсу́нем
2nd Pl,подсу́нете
3rd Pl,подсу́нут
Past M,подсу́нул
Past F,подсу́нула
Past N,подсу́нуло
Past PL,подсу́нули
Imp S,подсу́нь
Imp PL,подсу́ньте
