Infinitive,подорожа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подорожа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подорожа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подорожа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подорожа́ю
2nd Sing,подорожа́ешь
3rd Sing,подорожа́ет
1st Pl,подорожа́ем
2nd Pl,подорожа́ете
3rd Pl,подорожа́ют
Past M,подорожа́л
Past F,подорожа́ла
Past N,подорожа́ло
Past PL,подорожа́ли
Imp S,подорожа́й
Imp PL,подорожа́йте
