Infinitive,пода́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пода́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пода́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пода́мся
2nd Sing,пода́шься
3rd Sing,пода́стся
1st Pl,подади́мся
2nd Pl,подади́тесь
3rd Pl,подаду́тся
Past M,пода́лся
Past F,подала́сь
Past N,подало́сь
Past PL,подали́сь
Imp S,пода́йся
Imp PL,пода́йтесь
