Infinitive,попада́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попада́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,попада́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попада́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,попада́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попада́юсь
2nd Sing,попада́ешься
3rd Sing,попада́ется
1st Pl,попада́емся
2nd Pl,попада́етесь
3rd Pl,попада́ются
Past M,попада́лся
Past F,попада́лась
Past N,попада́лось
Past PL,попада́лись
Imp S,попада́йся
Imp PL,попада́йтесь
