Infinitive,понести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,понёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,понеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,понёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,понесу́сь
2nd Sing,понесёшься
3rd Sing,понесётся
1st Pl,понесёмся
2nd Pl,понесётесь
3rd Pl,понесу́тся
Past M,понёсся
Past F,понесла́сь
Past N,понесло́сь
Past PL,понесли́сь
Imp S,понеси́сь
Imp PL,понеси́тесь
