Infinitive,подшути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подшути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подшути́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подшути́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подшучу́
2nd Sing,подшу́тишь
3rd Sing,подшу́тит
1st Pl,подшу́тим
2nd Pl,подшу́тите
3rd Pl,подшу́тят
Past M,подшути́л
Past F,подшути́ла
Past N,подшути́ло
Past PL,подшути́ли
Imp S,подшути́
Imp PL,подшути́те
