Infinitive,позвони́ть
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,позвони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позвони́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,позвони́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,позвоню́
2nd Sing,позвони́шь
3rd Sing,позвони́т
1st Pl,позвони́м
2nd Pl,позвони́те
3rd Pl,позвоня́т
Past M,позвони́л
Past F,позвони́ла
Past N,позвони́ло
Past PL,позвони́ли
Imp S,позвони́
Imp PL,позвони́те
