Infinitive,постара́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,постара́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постара́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,постара́юсь
2nd Sing,постара́ешься
3rd Sing,постара́ется
1st Pl,постара́емся
2nd Pl,постара́етесь
3rd Pl,постара́ются
Past M,постара́лся
Past F,постара́лась
Past N,постара́лось
Past PL,постара́лись
Imp S,постара́йся
Imp PL,постара́йтесь
