Infinitive,помере́щиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помере́щившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помере́щившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помере́щусь
2nd Sing,помере́щишься
3rd Sing,помере́щится
1st Pl,помере́щимся
2nd Pl,помере́щитесь
3rd Pl,помере́щатся
Past M,помере́щился
Past F,помере́щилась
Past N,помере́щилось
Past PL,помере́щились
Imp S,помере́щись
Imp PL,помере́щитесь
