Infinitive,подбоче́ниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подбоче́нившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подбоче́нившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подбоче́нюсь
2nd Sing,подбоче́нишься
3rd Sing,подбоче́нится
1st Pl,подбоче́нимся
2nd Pl,подбоче́нитесь
3rd Pl,подбоче́нятся
Past M,подбоче́нился
Past F,подбоче́нилась
Past N,подбоче́нилось
Past PL,подбоче́нились
Imp S,подбоче́нься
Imp PL,подбоче́ньтесь
