Infinitive,поката́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поката́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поката́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поката́юсь
2nd Sing,поката́ешься
3rd Sing,поката́ется
1st Pl,поката́емся
2nd Pl,поката́етесь
3rd Pl,поката́ются
Past M,поката́лся
Past F,поката́лась
Past N,поката́лось
Past PL,поката́лись
Imp S,поката́йся
Imp PL,поката́йтесь
