Infinitive,подтяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подтяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подтяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подтяну́
2nd Sing,подтя́нешь
3rd Sing,подтя́нет
1st Pl,подтя́нем
2nd Pl,подтя́нете
3rd Pl,подтя́нут
Past M,подтяну́л
Past F,подтяну́ла
Past N,подтяну́ло
Past PL,подтяну́ли
Imp S,подтяни́
Imp PL,подтяни́те
