Infinitive,потепле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потепле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потепле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потепле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потепле́ю
2nd Sing,потепле́ешь
3rd Sing,потепле́ет
1st Pl,потепле́ем
2nd Pl,потепле́ете
3rd Pl,потепле́ют
Past M,потепле́л
Past F,потепле́ла
Past N,потепле́ло
Past PL,потепле́ли
Imp S,потепле́й
Imp PL,потепле́йте
