Infinitive,позаба́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,позаба́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позаба́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позаба́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,позаба́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,позаба́влю
2nd Sing,позаба́вишь
3rd Sing,позаба́вит
1st Pl,позаба́вим
2nd Pl,позаба́вите
3rd Pl,позаба́вят
Past M,позаба́вил
Past F,позаба́вила
Past N,позаба́вило
Past PL,позаба́вили
Imp S,позаба́вь
Imp PL,позаба́вьте
