Infinitive,покати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покачу́
2nd Sing,пока́тишь
3rd Sing,пока́тит
1st Pl,пока́тим
2nd Pl,пока́тите
3rd Pl,пока́тят
Past M,покати́л
Past F,покати́ла
Past N,покати́ло
Past PL,покати́ли
Imp S,покати́
Imp PL,покати́те
