Infinitive,покача́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́чанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покача́ю
2nd Sing,покача́ешь
3rd Sing,покача́ет
1st Pl,покача́ем
2nd Pl,покача́ете
3rd Pl,покача́ют
Past M,покача́л
Past F,покача́ла
Past N,покача́ло
Past PL,покача́ли
Imp S,покача́й
Imp PL,покача́йте
