Infinitive,пощади́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пощади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пощажённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пощади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пощади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пощажу́
2nd Sing,пощади́шь
3rd Sing,пощади́т
1st Pl,пощади́м
2nd Pl,пощади́те
3rd Pl,пощадя́т
Past M,пощади́л
Past F,пощади́ла
Past N,пощади́ло
Past PL,пощади́ли
Imp S,пощади́
Imp PL,пощади́те
