Infinitive,пожале́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пожале́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожале́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пожале́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пожале́ю
2nd Sing,пожале́ешь
3rd Sing,пожале́ет
1st Pl,пожале́ем
2nd Pl,пожале́ете
3rd Pl,пожале́ют
Past M,пожале́л
Past F,пожале́ла
Past N,пожале́ло
Past PL,пожале́ли
Imp S,пожале́й
Imp PL,пожале́йте
