Infinitive,похолода́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,похолода́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похолода́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,похолода́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,похолода́ю
2nd Sing,похолода́ешь
3rd Sing,похолода́ет
1st Pl,похолода́ем
2nd Pl,похолода́ете
3rd Pl,похолода́ют
Past M,похолода́л
Past F,похолода́ла
Past N,похолода́ло
Past PL,похолода́ли
Imp S,похолода́й
Imp PL,похолода́йте
