Infinitive,посе́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посе́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посе́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посе́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посе́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посе́ю
2nd Sing,посе́ешь
3rd Sing,посе́ет
1st Pl,посе́ем
2nd Pl,посе́ете
3rd Pl,посе́ют
Past M,посе́ял
Past F,посе́яла
Past N,посе́яло
Past PL,посе́яли
Imp S,посе́й
Imp PL,посе́йте
