Infinitive,понае́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,понае́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,понае́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,понае́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,понае́ду
2nd Sing,понае́дешь
3rd Sing,понае́дет
1st Pl,понае́дем
2nd Pl,понае́дете
3rd Pl,понае́дут
Past M,понае́хал
Past F,понае́хала
Past N,понае́хало
Past PL,понае́хали
Imp S,понаезжа́й
Imp PL,понаезжа́йте
