Infinitive,подде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подде́лаю
2nd Sing,подде́лаешь
3rd Sing,подде́лает
1st Pl,подде́лаем
2nd Pl,подде́лаете
3rd Pl,подде́лают
Past M,подде́лал
Past F,подде́лала
Past N,подде́лало
Past PL,подде́лали
Imp S,подде́лай
Imp PL,подде́лайте
