Infinitive,получа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,получа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,получа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,получа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,получа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,получа́юсь
2nd Sing,получа́ешься
3rd Sing,получа́ется
1st Pl,получа́емся
2nd Pl,получа́етесь
3rd Pl,получа́ются
Past M,получа́лся
Past F,получа́лась
Past N,получа́лось
Past PL,получа́лись
Imp S,получа́йся
Imp PL,получа́йтесь
