Infinitive,понаблюда́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,понаблюда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,понаблюда́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,понаблюда́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,понаблюда́ю
2nd Sing,понаблюда́ешь
3rd Sing,понаблюда́ет
1st Pl,понаблюда́ем
2nd Pl,понаблюда́ете
3rd Pl,понаблюда́ют
Past M,понаблюда́л
Past F,понаблюда́ла
Past N,понаблюда́ло
Past PL,понаблюда́ли
Imp S,понаблюда́й
Imp PL,понаблюда́йте
