Infinitive,потрепа́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потрепа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потрёпанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потрепа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потрепа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потреплю́
2nd Sing,потре́плешь
3rd Sing,потре́плет
1st Pl,потре́плем
2nd Pl,потре́плете
3rd Pl,потре́плют
Past M,потрепа́л
Past F,потрепа́ла
Past N,потрепа́ло
Past PL,потрепа́ли
Imp S,потрепли́
Imp PL,потрепли́те
